Dátum,Elhunytak,Lélegeztetettek,Beoltottak,Kétszer oltottak,Kórházban ápoltak,Összes fertőzött,Háromszor oltottak,Napi új elhunyt,Napi új beoltott,Napi új másodszor oltott,Napi új harmadszor oltott,Napi új fertőzött
2020-04-08,58,,,,,895,0,11,,,,78
2020-04-09,66,,,,,980,0,8,,,0,85
2020-04-10,77,,,,,1190,0,11,,,0,210
2020-04-11,85,,,,,1310,0,8,,,0,120
2020-04-12,99,,,,,1410,0,14,,,0,100
2020-04-13,109,,,,,1458,0,10,,,0,48
2020-04-14,122,,,,,1512,0,13,,,0,54
2020-04-15,134,,,,,1579,0,12,,,0,67
2020-04-16,142,,,,,1652,0,8,,,0,73
2020-04-17,156,63,,,847,1763,0,14,,,0,111
2020-04-18,172,60,,,829,1834,0,16,,,0,71
2020-04-19,189,61,,,784,1916,0,17,,,0,82
2020-04-20,199,60,,,811,1984,0,10,,,0,68
2020-04-21,213,82,,,842,2098,0,14,,,0,114
2020-04-22,225,63,,,825,2168,0,12,,,0,70
2020-04-23,239,61,,,850,2284,0,14,,,0,116
2020-04-24,250,,,,,2383,0,11,,,0,99
2020-04-25,262,54,,,899,2443,0,12,,,0,60
2020-04-26,272,56,,,927,2500,0,10,,,0,57
2020-04-27,280,52,,,931,2583,0,8,,,0,83
2020-04-28,291,49,,,976,2649,0,11,,,0,66
2020-04-29,300,50,,,983,2727,0,9,,,0,78
2020-04-30,312,54,,,998,2775,0,12,,,0,48
2020-05-01,323,49,,,983,2863,0,11,,,0,88
2020-05-02,335,52,,,1008,2942,0,12,,,0,79
2020-05-03,340,51,,,1005,2998,0,5,,,0,56
2020-05-04,351,55,,,1027,3035,0,11,,,0,37
2020-05-05,363,55,,,982,3065,0,12,,,0,30
2020-05-06,373,50,,,964,3111,0,10,,,0,46
2020-05-07,383,50,,,968,3150,0,10,,,0,39
2020-05-08,392,74,,,1132,3178,0,9,,,0,28
2020-05-09,405,,,,,3213,0,13,,,0,35
2020-05-10,413,50,,,812,3263,0,8,,,0,50
2020-05-11,421,42,,,782,3284,0,8,,,0,21
2020-05-12,425,45,,,746,3313,0,4,,,0,29
2020-05-13,430,45,,,688,3341,0,5,,,0,28
2020-05-14,436,49,,,658,3380,0,6,,,0,39
2020-05-15,442,46,,,614,3417,0,6,,,0,37
2020-05-16,448,45,,,570,3473,0,6,,,0,56
2020-05-17,451,47,,,562,3509,0,3,,,0,36
2020-05-18,462,46,,,568,3535,0,11,,,0,26
2020-05-19,467,,,,,3556,0,5,,,0,21
2020-05-20,470,29,,,539,3598,0,3,,,0,42
2020-05-21,473,27,,,510,3641,0,3,,,0,43
2020-05-22,476,23,,,483,3678,0,3,,,0,37
2020-05-23,482,21,,,462,3713,0,6,,,0,35
2020-05-24,486,28,,,442,3741,0,4,,,0,28
2020-05-25,491,,,,,3756,0,5,,,0,15
2020-05-26,499,27,,,436,3771,0,8,,,0,15
2020-05-27,505,25,,,430,3793,0,6,,,0,22
2020-05-28,509,24,,,404,3816,0,4,,,0,23
2020-05-29,517,24,,,384,3841,0,8,,,0,25
2020-05-30,524,22,,,414,3867,0,7,,,0,26
2020-05-31,526,25,,,419,3876,0,2,,,0,9
2020-06-01,527,25,,,417,3892,0,1,,,0,16
2020-06-02,532,24,,,427,3921,0,5,,,0,29
2020-06-03,534,24,,,414,3931,0,2,,,0,10
2020-06-04,539,24,,,406,3954,0,5,,,0,23
2020-06-05,542,21,,,397,3970,0,3,,,0,16
2020-06-06,545,21,,,387,3990,0,3,,,0,20
2020-06-07,546,21,,,386,4008,0,1,,,0,18
2020-06-08,548,21,,,385,4014,0,2,,,0,6
2020-06-09,550,20,,,365,4017,0,2,,,0,3
2020-06-10,551,20,,,344,4027,0,1,,,0,10
2020-06-11,553,19,,,321,4039,0,2,,,0,12
2020-06-12,555,20,,,290,4053,0,2,,,0,14
2020-06-13,559,20,,,283,4064,0,4,,,0,11
2020-06-14,562,20,,,275,4069,0,3,,,0,5
2020-06-15,563,19,,,275,4076,0,1,,,0,7
2020-06-16,565,17,,,255,4077,0,2,,,0,1
2020-06-17,567,16,,,210,4078,0,2,,,0,1
2020-06-18,568,15,,,199,4079,0,1,,,0,1
2020-06-19,568,15,,,192,4081,0,0,,,0,2
2020-06-20,570,15,,,186,4086,0,2,,,0,5
2020-06-21,570,15,,,185,4094,0,0,,,0,8
2020-06-22,572,14,,,184,4102,0,2,,,0,8
2020-06-23,573,14,,,183,4107,0,1,,,0,5
2020-06-24,576,13,,,183,4114,0,3,,,0,7
2020-06-25,577,13,,,182,4123,0,1,,,0,9
2020-06-26,578,13,,,179,4127,0,1,,,0,4
2020-06-27,578,11,,,174,4138,0,0,,,0,11
2020-06-28,581,9,,,172,4142,0,3,,,0,4
2020-06-29,585,9,,,170,4145,0,4,,,0,3
2020-06-30,585,9,,,169,4155,0,0,,,0,10
2020-07-01,586,8,,,169,4157,0,1,,,0,2
2020-07-02,587,8,,,157,4166,0,1,,,0,9
2020-07-03,588,9,,,150,4172,0,1,,,0,6
2020-07-04,589,8,,,140,4174,0,1,,,0,2
2020-07-05,589,8,,,144,4183,0,0,,,0,9
2020-07-06,589,8,,,144,4189,0,0,,,0,6
2020-07-07,589,7,,,142,4205,0,0,,,0,16
2020-07-08,589,6,,,132,4210,0,0,,,0,5
2020-07-09,591,6,,,131,4220,0,2,,,0,10
2020-07-10,593,6,,,133,4223,0,2,,,0,3
2020-07-11,595,5,,,129,4229,0,2,,,0,6
2020-07-12,595,5,,,128,4234,0,0,,,0,5
2020-07-13,595,5,,,127,4247,0,0,,,0,13
2020-07-14,595,5,,,131,4258,0,0,,,0,11
2020-07-15,595,5,,,125,4263,0,0,,,0,5
2020-07-16,595,5,,,109,4279,0,0,,,0,16
2020-07-17,595,4,,,83,4293,0,0,,,0,14
2020-07-18,596,3,,,83,4315,0,1,,,0,22
2020-07-19,596,3,,,82,4333,0,0,,,0,18
2020-07-20,596,5,,,83,4339,0,0,,,0,6
2020-07-21,596,4,,,78,4347,0,0,,,0,8
2020-07-22,596,4,,,76,4366,0,0,,,0,19
2020-07-23,596,4,,,76,4380,0,0,,,0,14
2020-07-24,596,4,,,70,4398,0,0,,,0,18
2020-07-25,596,5,,,68,4424,0,0,,,0,26
2020-07-26,596,6,,,69,4435,0,0,,,0,11
2020-07-27,596,6,,,71,4448,0,0,,,0,13
2020-07-28,596,6,,,76,4456,0,0,,,0,8
2020-07-29,596,6,,,76,4465,0,0,,,0,9
2020-07-30,596,6,,,76,4484,0,0,,,0,19
2020-07-31,596,6,,,73,4505,0,0,,,0,21
2020-08-01,597,6,,,73,4526,0,1,,,0,21
2020-08-02,597,7,,,71,4535,0,0,,,0,9
