Dátum,Aktív fertőzött,Elhunyt,Gyógyult,Összesen,Beoltottak,Aktív fertőzöttek változása,Napi új elhunyt,Napi új gyógyult,Napi új fertőzött,Napi új beoltott
2021.02.01,91 872,12 578,264 260,368 710,237 872,-222,54,1292,1124,
2021.02.02,87 829,12 656,268 803,369 288,243 036,-4043,78,4543,578,5164
2021.02.03,85 313,12 739,272 284,370 336,247 270,-2516,83,3481,1048,4234
2021.02.04,84 848,12 832,274 308,371 988,249 687,-465,93,2024,1652,2417
2021.02.05,84 870,12 930,275 764,373 564,264 530,22,98,1456,1576,14 843
2021.02.06,84 150,13 026,277 949,375 125,279 410,-720,96,2185,1561,14 880
2021.02.07,83 642,13 090,279 763,376 495,286 379,-508,64,1814,1370,6969
2021.02.08,82 661,13 155,281 839,377 655,289 042,-981,65,2076,1160,2663
2021.02.09,82 203,13 249,283 282,378 734,291 396,-458,94,1443,1079,2354
2021.02.10,81 644,13 347,285 022,380 013,292 627,-559,98,1740,1279,1231
2021.02.11,81 297,13 444,287 134,381 875,294 624,-347,97,2122,1862,1997
2021.02.12,80 672,13 543,289 520,383 735,310 448,-625,99,2386,1860,15 824
2021.02.13,78 577,13 636,293 542,385 755,330 745,-2095,93,4022,2020,20 297
2021.02.14,77 583,13 706,296 173,387 462,335 188,-994,70,2631,1707,4443
2021.02.15,77 039,13 752,298 008,388 799,336 297,-544,46,1835,1337,1109
2021.02.16,77 012,13 837,298 773,389 622,341 958,-27,85,765,823,5661
2021.02.17,77 250,13 931,299 989,391 170,348 927,238,94,1216,1548,6969
2021.02.18,78 625,14 035,301 363,394 023,365 021,1375,104,1374,2853,16 094
2021.02.19,80 282,14 145,302 689,397 116,391 821,1657,110,1326,3093,26 800
2021.02.20,81 179,14 252,304 680,400 111,427 309,897,107,1991,2995,35 488
2021.02.21,82 103,14 299,306 621,403 023,445 535,924,47,1941,2912,18 226
2021.02.22,82 649,14 347,308 650,405 646,453 457,546,48,2029,2623,7922
2021.02.23,81 976,14 450,310 848,407 274,457 096,-673,103,2198,1628,3639
2021.02.24,82 127,14 552,313 450,410 129,471 004,151,102,2602,2855,13 908
2021.02.25,84 061,14 672,315 781,414 514,508 073,1934,120,2331,4385,37 069
2021.02.26,86 488,14 795,317 899,419 182,521 283,2427,123,2118,4668,13 210
2021.02.27,89 537,14 902,319 691,424 130,563 601,3049,107,1792,4948,42 318
2021.02.28,92 497,14 974,321 128,428 599,677 682,2960,72,1437,4469,114 081
2021.03.01,94 911,15 058,322 956,432 925,685 247,2414,84,1828,4326,7565
2021.03.02,96 299,15 188,324 202,435 689,721 677,1388,130,1246,2764,36 430
2021.03.03,98 361,15 324,326 215,439 900,758 037,2062,136,2013,4211,36 360
